îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2018,12,31,6,1901,PABUK,2,7.6 ,111.9 ,1004,0,0,0,0,0,0,0,0
2018,12,31,12,1901,PABUK,2,7.3 ,111.3 ,1004,0,0,0,0,0,0,0,0
2018,12,31,18,1901,PABUK,2,7.0 ,111.1 ,1004,0,0,0,0,0,0,0,0
2019,1,1,0,1901,PABUK,2,6.6 ,110.7 ,1004,0,0,0,0,0,0,0,0
2019,1,1,6,1901,PABUK,3,6.3 ,110.2 ,1000,35,0,0,0,7,180,120,0
2019,1,1,12,1901,PABUK,3,6.0 ,109.9 ,1000,35,0,0,0,7,180,120,0
2019,1,1,18,1901,PABUK,3,5.8 ,109.5 ,1000,35,0,0,0,7,180,120,0
2019,1,2,0,1901,PABUK,3,5.9 ,108.6 ,1000,35,0,0,0,7,180,120,0
2019,1,2,6,1901,PABUK,3,6.2 ,108.0 ,1000,35,0,0,0,7,180,120,0
2019,1,2,12,1901,PABUK,3,6.3 ,107.0 ,1000,35,0,0,0,7,180,120,0
2019,1,2,18,1901,PABUK,3,6.0 ,105.8 ,1000,35,0,0,0,7,180,120,0
2019,1,3,0,1901,PABUK,3,5.8 ,105.0 ,1000,35,0,0,0,7,180,120,0
2019,1,3,6,1901,PABUK,3,6.1 ,104.1 ,1000,35,0,0,0,7,180,120,0
2019,1,3,12,1901,PABUK,3,6.8 ,103.4 ,998,40,0,0,0,7,180,120,0
2019,1,3,18,1901,PABUK,3,7.5 ,102.5 ,996,45,0,0,0,7,180,120,0
2019,1,4,0,1901,PABUK,3,7.9 ,101.5 ,996,45,0,0,0,8,180,90,0
2019,1,4,6,1901,PABUK,3,8.1 ,100.8 ,996,45,0,0,0,8,180,90,0
2019,1,4,12,1901,PABUK,3,8.2 ,100.1 ,1000,40,0,0,0,1,120,60,0
2019,1,4,18,1901,PABUK,2,8.4 ,99.4 ,1006,0,0,0,0,0,0,0,0
2019,2,18,12,1902,WUTIP,2,4.7 ,162.5 ,1006,0,0,0,0,0,0,0,0
2019,2,18,18,1902,WUTIP,2,4.8 ,161.2 ,1004,0,0,0,0,0,0,0,0
2019,2,19,0,1902,WUTIP,2,5.2 ,159.8 ,1006,0,0,0,0,0,0,0,0
2019,2,19,6,1902,WUTIP,2,4.9 ,158.4 ,1004,0,0,0,0,0,0,0,0
2019,2,19,12,1902,WUTIP,2,4.5 ,156.6 ,1004,0,0,0,0,0,0,0,0
2019,2,19,18,1902,WUTIP,3,4.5 ,155.5 ,1000,35,0,0,0,8,150,90,0
2019,2,20,0,1902,WUTIP,3,4.7 ,154.6 ,994,45,0,0,0,8,150,90,0
2019,2,20,6,1902,WUTIP,4,4.7 ,153.8 ,992,50,0,0,0,8,210,120,0
2019,2,20,12,1902,WUTIP,4,5.0 ,152.6 ,985,60,9,30,30,8,270,180,0
2019,2,20,18,1902,WUTIP,5,5.7 ,151.6 ,980,65,9,50,50,8,270,180,0
2019,2,21,0,1902,WUTIP,5,6.1 ,150.5 ,975,70,9,60,60,8,270,180,0
2019,2,21,6,1902,WUTIP,5,6.4 ,149.6 ,960,80,9,70,70,8,270,210,0
2019,2,21,12,1902,WUTIP,5,6.9 ,148.7 ,960,80,9,70,70,8,270,210,0
2019,2,21,18,1902,WUTIP,5,7.5 ,147.9 ,960,80,9,70,70,8,270,210,0
2019,2,22,0,1902,WUTIP,5,8.2 ,146.8 ,960,80,9,70,70,8,270,210,0
2019,2,22,6,1902,WUTIP,5,9.2 ,146.2 ,960,80,9,70,70,8,270,210,0
2019,2,22,12,1902,WUTIP,5,9.9 ,145.0 ,960,80,9,70,70,8,270,210,0
2019,2,22,18,1902,WUTIP,5,10.1 ,144.0 ,960,80,9,70,70,9,240,240,0
2019,2,23,0,1902,WUTIP,5,10.6 ,143.7 ,955,85,9,70,70,9,240,240,0
2019,2,23,6,1902,WUTIP,5,11.4 ,143.3 ,940,95,9,70,70,9,240,240,0
2019,2,23,12,1902,WUTIP,5,12.0 ,142.8 ,920,105,9,80,80,9,240,240,0
2019,2,23,18,1902,WUTIP,5,12.4 ,142.4 ,920,105,9,80,80,9,240,240,0
2019,2,24,0,1902,WUTIP,5,12.7 ,142.1 ,920,105,9,80,80,9,240,240,0
2019,2,24,6,1902,WUTIP,5,12.9 ,141.7 ,940,95,9,70,70,8,240,150,0
2019,2,24,12,1902,WUTIP,5,13.1 ,141.2 ,940,95,9,70,70,8,240,150,0
2019,2,24,18,1902,WUTIP,5,13.1 ,140.7 ,940,95,9,70,70,8,240,120,0
