îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2011,5,6,12,1101,AERE,2,11.9,128.2,1004,0,0,0,0,0,0,0,0
2011,5,6,18,1101,AERE,2,12.0,127.4,1000,0,0,0,0,0,0,0,0
2011,5,7,0,1101,AERE,2,12.5,126.7,1000,0,0,0,0,0,0,0,0
2011,5,7,6,1101,AERE,2,12.9,126.0,998,0,0,0,0,0,0,0,0
2011,5,7,12,1101,AERE,3,13.3,125.4,996,35,0,0,0,9,100,100,0
2011,5,7,18,1101,AERE,3,13.5,124.7,996,35,0,0,0,9,100,100,0
2011,5,8,0,1101,AERE,3,14.0,124.2,996,35,0,0,0,9,100,100,0
2011,5,8,6,1101,AERE,3,14.5,123.7,994,35,0,0,0,9,100,100,0
2011,5,8,12,1101,AERE,3,15.1,123.1,992,40,0,0,0,9,100,100,0
2011,5,8,18,1101,AERE,3,15.6,122.9,992,40,0,0,0,9,110,110,0
2011,5,9,0,1101,AERE,3,16.3,122.5,992,40,0,0,0,9,110,110,0
2011,5,9,6,1101,AERE,3,17.2,122.3,996,35,0,0,0,9,110,110,0
2011,5,9,12,1101,AERE,3,18.0,122.3,996,35,0,0,0,9,110,110,0
2011,5,9,18,1101,AERE,3,19.2,122.2,996,35,0,0,0,2,110,90,0
2011,5,10,0,1101,AERE,3,20.3,122.3,996,35,0,0,0,2,140,90,0
2011,5,10,6,1101,AERE,3,21.2,123.1,996,35,0,0,0,3,160,90,0
2011,5,10,12,1101,AERE,3,22.4,124.2,996,35,0,0,0,3,160,90,0
2011,5,10,18,1101,AERE,3,23.5,125.0,996,35,0,0,0,3,160,90,0
2011,5,11,0,1101,AERE,3,25.1,126.2,996,35,0,0,0,3,160,90,0
2011,5,11,6,1101,AERE,3,26.6,127.8,996,35,0,0,0,3,130,80,0
2011,5,11,12,1101,AERE,3,28.4,129.6,996,35,0,0,0,3,90,60,0
2011,5,11,18,1101,AERE,2,30.1,132.0,998,0,0,0,0,0,0,0,0
2011,5,12,0,1101,AERE,2,31.2,134.4,998,0,0,0,0,0,0,0,0
2011,5,12,6,1101,AERE,2,32.7,137.2,996,0,0,0,0,0,0,0,0
2011,5,12,12,1101,AERE,2,34.5,140.7,996,0,0,0,0,0,0,0,0
2011,5,12,18,1101,AERE,6,36.4,143.3,990,0,0,0,0,0,0,0,0
2011,5,13,0,1101,AERE,6,37.9,145.8,988,0,0,0,0,0,0,0,0
2011,5,13,6,1101,AERE,6,39.2,148.1,986,0,0,0,0,0,0,0,0
2011,5,13,12,1101,AERE,6,41.1,150.7,986,0,0,0,0,0,0,0,0
2011,5,13,18,1101,AERE,6,43.2,154.3,984,0,0,0,0,0,0,0,0
2011,5,14,0,1101,AERE,6,45.0,157.7,984,0,0,0,0,0,0,0,0
2011,5,14,6,1101,AERE,6,46.6,161.3,980,0,0,0,0,0,0,0,0
2011,5,14,12,1101,AERE,6,48.1,165.1,980,0,0,0,0,0,0,0,0
2011,5,14,18,1101,AERE,6,49.6,169.2,978,0,0,0,0,0,0,0,0
2011,5,15,0,1101,AERE,6,51.3,174.5,978,0,0,0,0,0,0,0,0
2011,5,15,6,1101,AERE,6,52.6,180.5,978,0,0,0,0,0,0,0,0
2011,5,19,18,1102,SONGDA,2,8.3,141.6,1006,0,0,0,0,0,0,0,0
2011,5,20,0,1102,SONGDA,2,8.3,141.3,1006,0,0,0,0,0,0,0,0
2011,5,20,6,1102,SONGDA,2,8.2,140.9,1004,0,0,0,0,0,0,0,0
2011,5,20,12,1102,SONGDA,2,8.3,140.2,1004,0,0,0,0,0,0,0,0
2011,5,20,18,1102,SONGDA,2,8.4,139.5,1004,0,0,0,0,0,0,0,0
2011,5,21,0,1102,SONGDA,2,8.7,138.6,1004,0,0,0,0,0,0,0,0
2011,5,21,6,1102,SONGDA,2,8.8,138.3,1002,0,0,0,0,0,0,0,0
2011,5,21,12,1102,SONGDA,3,9.0,137.9,1000,35,0,0,0,9,90,90,0
2011,5,21,18,1102,SONGDA,3,9.2,137.5,998,35,0,0,0,9,90,90,0
2011,5,22,0,1102,SONGDA,3,9.5,137.1,994,40,0,0,0,9,90,90,0
2011,5,22,6,1102,SONGDA,3,9.7,136.6,990,45,0,0,0,9,100,100,0
2011,5,22,12,1102,SONGDA,4,10.2,135.8,985,50,0,0,0,2,130,100,0
2011,5,22,18,1102,SONGDA,4,10.4,135.0,985,50,0,0,0,2,130,100,0
2011,5,23,0,1102,SONGDA,4,11.0,133.9,985,50,0,0,0,8,150,100,0
2011,5,23,6,1102,SONGDA,4,11.2,133.1,985,50,0,0,0,8,150,100,0
2011,5,23,12,1102,SONGDA,4,11.4,132.5,985,55,9,30,30,9,120,120,0
2011,5,23,18,1102,SONGDA,4,11.6,131.7,980,55,9,40,40,9,120,120,0
2011,5,24,0,1102,SONGDA,4,11.9,131.1,980,55,9,40,40,9,120,120,0
2011,5,24,6,1102,SONGDA,4,12.3,130.1,975,60,9,50,50,9,120,120,0
2011,5,24,12,1102,SONGDA,4,12.4,129.3,975,60,9,50,50,9,120,120,0
2011,5,24,18,1102,SONGDA,5,12.1,128.5,970,65,9,60,60,9,120,120,0
2011,5,25,0,1102,SONGDA,5,12.3,128.2,965,70,9,70,70,9,130,130,0
2011,5,25,6,1102,SONGDA,5,12.6,127.8,955,75,9,70,70,9,130,130,0
2011,5,25,12,1102,SONGDA,5,13.1,127.5,945,85,9,70,70,9,160,160,0
2011,5,25,18,1102,SONGDA,5,13.8,127.2,935,95,9,70,70,9,160,160,0
2011,5,26,0,1102,SONGDA,5,14.7,126.5,930,100,9,70,70,3,170,140,0
2011,5,26,6,1102,SONGDA,5,15.6,125.8,920,105,9,70,70,3,170,140,0
2011,5,26,12,1102,SONGDA,5,16.2,125.1,920,105,9,70,70,3,170,140,0
2011,5,26,18,1102,SONGDA,5,17.2,124.5,920,105,9,70,70,3,170,140,0
2011,5,27,0,1102,SONGDA,5,18.1,123.9,920,105,9,70,70,3,170,140,0
2011,5,27,6,1102,SONGDA,5,19.3,123.4,930,100,9,70,70,3,170,140,0
2011,5,27,12,1102,SONGDA,5,20.4,123.1,930,95,9,70,70,3,220,160,0
2011,5,27,15,1102,SONGDA,5,20.8,123.1,935,95,3,80,60,3,240,180,0
2011,5,27,18,1102,SONGDA,5,21.5,123.3,940,90,3,80,60,3,240,180,0
2011,5,27,21,1102,SONGDA,5,22.3,123.5,940,90,3,80,60,3,240,180,0
2011,5,28,0,1102,SONGDA,5,22.9,123.8,940,90,3,80,60,3,240,180,0
2011,5,28,3,1102,SONGDA,5,23.9,124.4,940,90,3,80,60,3,240,180,0
2011,5,28,6,1102,SONGDA,5,24.8,125.0,940,90,3,80,60,3,210,180,0
2011,5,28,9,1102,SONGDA,5,25.6,125.7,945,80,3,80,60,9,180,180,0
2011,5,28,12,1102,SONGDA,5,26.3,126.6,950,80,3,80,60,9,180,180,0
2011,5,28,15,1102,SONGDA,5,27.4,128.0,960,75,4,80,60,9,180,180,0
2011,5,28,18,1102,SONGDA,5,28.6,129.2,965,70,4,70,50,9,180,180,0
2011,5,28,21,1102,SONGDA,5,29.4,130.2,970,65,9,50,50,9,180,180,0
2011,5,29,0,1102,SONGDA,4,30.7,131.6,975,60,9,50,50,3,190,170,0
2011,5,29,3,1102,SONGDA,4,31.8,133.1,980,55,9,50,50,3,200,150,0
2011,5,29,6,1102,SONGDA,6,33.0,134.0,982,0,0,0,0,0,0,0,0
2011,5,29,12,1102,SONGDA,6,34.2,136.6,988,0,0,0,0,0,0,0,0
2011,5,29,18,1102,SONGDA,6,34.5,137.4,988,0,0,0,0,0,0,0,0
2011,5,30,0,1102,SONGDA,6,34.6,139.6,990,0,0,0,0,0,0,0,0
2011,5,30,6,1102,SONGDA,6,35.8,142.8,990,0,0,0,0,0,0,0,0
2011,5,30,12,1102,SONGDA,6,36.5,145.2,990,0,0,0,0,0,0,0,0
2011,5,30,18,1102,SONGDA,6,36.4,148.1,990,0,0,0,0,0,0,0,0
2011,5,31,0,1102,SONGDA,6,36.3,150.9,988,0,0,0,0,0,0,0,0
2011,5,31,6,1102,SONGDA,6,36.7,154.6,988,0,0,0,0,0,0,0,0
2011,5,31,12,1102,SONGDA,6,37.3,156.8,988,0,0,0,0,0,0,0,0
