îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2016,7,2,12,1601,NEPARTAK,2,8.3,145.1,1006,0,0,0,0,0,0,0,0
2016,7,2,18,1601,NEPARTAK,2,8.6,145.0,1004,0,0,0,0,0,0,0,0
2016,7,3,0,1601,NEPARTAK,3,8.9,144.9,1002,35,0,0,0,4,180,120,0
2016,7,3,6,1601,NEPARTAK,3,9.2,144.8,1002,35,0,0,0,4,180,120,0
2016,7,3,12,1601,NEPARTAK,3,10.0,144.4,1000,35,0,0,0,4,180,120,0
2016,7,3,18,1601,NEPARTAK,3,10.9,143.9,996,40,0,0,0,9,150,150,0
2016,7,4,0,1601,NEPARTAK,3,11.9,142.6,996,40,0,0,0,9,150,150,0
2016,7,4,6,1601,NEPARTAK,3,12.8,141.1,994,45,0,0,0,1,180,150,0
2016,7,4,12,1601,NEPARTAK,4,13.5,139.6,990,50,0,0,0,1,180,150,0
2016,7,4,18,1601,NEPARTAK,4,14.5,138.2,980,60,9,40,40,1,180,150,0
2016,7,5,0,1601,NEPARTAK,5,15.3,136.6,965,65,9,40,40,1,180,150,0
2016,7,5,6,1601,NEPARTAK,5,16.3,135.1,955,75,9,40,40,1,180,150,0
2016,7,5,12,1601,NEPARTAK,5,17.1,133.5,940,85,9,50,50,1,180,150,0
2016,7,5,18,1601,NEPARTAK,5,18.0,131.9,925,95,9,50,50,1,240,150,0
2016,7,6,0,1601,NEPARTAK,5,18.7,130.1,915,100,9,60,60,1,240,150,0
2016,7,6,6,1601,NEPARTAK,5,19.5,128.4,900,110,9,60,60,1,240,150,0
2016,7,6,12,1601,NEPARTAK,5,20.1,127.0,900,110,9,60,60,9,210,210,0
2016,7,6,18,1601,NEPARTAK,5,20.7,125.6,900,110,9,60,60,9,210,210,0
2016,7,7,0,1601,NEPARTAK,5,21.3,124.3,900,110,9,60,60,9,210,210,0
2016,7,7,6,1601,NEPARTAK,5,21.6,123.4,900,110,9,60,60,9,210,210,0
2016,7,7,12,1601,NEPARTAK,5,22.0,122.6,900,110,9,50,50,9,210,210,0
2016,7,7,18,1601,NEPARTAK,5,22.4,121.7,920,90,9,50,50,9,210,210,0
2016,7,8,0,1601,NEPARTAK,5,22.6,120.6,950,75,9,40,40,1,210,180,0
2016,7,8,6,1601,NEPARTAK,5,23.2,120.1,975,65,9,40,40,1,210,180,0
2016,7,8,12,1601,NEPARTAK,4,23.2,119.9,985,50,0,0,0,1,180,150,0
