îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2012,3,26,0,1201,PAKHAR,2,9.5,115.7,1010,0,0,0,0,0,0,0,0
2012,3,26,6,1201,PAKHAR,2,9.5,115.4,1008,0,0,0,0,0,0,0,0
2012,3,26,12,1201,PAKHAR,2,9.5,115.1,1008,0,0,0,0,0,0,0,0
2012,3,26,18,1201,PAKHAR,2,9.4,114.8,1010,0,0,0,0,0,0,0,0
2012,3,27,0,1201,PAKHAR,2,9.4,114.5,1010,0,0,0,0,0,0,0,0
2012,3,27,6,1201,PAKHAR,2,9.4,114.3,1008,0,0,0,0,0,0,0,0
2012,3,27,12,1201,PAKHAR,2,9.4,114.0,1008,0,0,0,0,0,0,0,0
2012,3,27,18,1201,PAKHAR,2,9.4,113.7,1008,0,0,0,0,0,0,0,0
2012,3,28,0,1201,PAKHAR,2,9.4,113.4,1010,0,0,0,0,0,0,0,0
2012,3,28,6,1201,PAKHAR,2,9.3,113.1,1008,0,0,0,0,0,0,0,0
2012,3,28,12,1201,PAKHAR,2,9.3,112.8,1008,0,0,0,0,0,0,0,0
2012,3,28,18,1201,PAKHAR,2,9.4,112.5,1008,0,0,0,0,0,0,0,0
2012,3,29,0,1201,PAKHAR,2,9.6,112.3,1008,0,0,0,0,0,0,0,0
2012,3,29,6,1201,PAKHAR,2,9.7,112.0,1006,0,0,0,0,0,0,0,0
2012,3,29,12,1201,PAKHAR,3,9.7,111.8,1004,35,0,0,0,9,60,60,0
2012,3,29,18,1201,PAKHAR,3,9.7,111.6,1002,35,0,0,0,9,80,80,0
2012,3,30,0,1201,PAKHAR,3,9.7,111.3,1000,40,0,0,0,9,100,100,0
2012,3,30,6,1201,PAKHAR,3,9.7,111.0,998,40,0,0,0,9,120,120,0
2012,3,30,12,1201,PAKHAR,3,9.7,110.7,998,40,0,0,0,9,120,120,0
2012,3,30,18,1201,PAKHAR,3,9.7,110.4,998,40,0,0,0,9,120,120,0
2012,3,31,0,1201,PAKHAR,3,9.7,110.0,998,40,0,0,0,9,120,120,0
2012,3,31,6,1201,PAKHAR,3,9.8,109.5,998,40,0,0,0,9,120,120,0
2012,3,31,12,1201,PAKHAR,3,9.9,109.1,998,40,0,0,0,9,120,120,0
2012,3,31,18,1201,PAKHAR,3,9.9,108.7,998,40,0,0,0,9,120,120,0
2012,4,1,0,1201,PAKHAR,3,10.0,108.3,998,40,0,0,0,9,120,120,0
2012,4,1,6,1201,PAKHAR,3,10.0,107.8,1000,40,0,0,0,9,90,90,0
2012,4,1,12,1201,PAKHAR,3,10.5,107.4,1002,35,0,0,0,9,70,70,0
2012,4,1,18,1201,PAKHAR,3,11.0,107.0,1004,35,0,0,0,9,70,70,0
2012,4,2,0,1201,PAKHAR,2,11.5,106.5,1006,0,0,0,0,0,0,0,0
2012,4,2,6,1201,PAKHAR,2,12.0,106.1,1008,0,0,0,0,0,0,0,0
2012,5,20,18,1202,SANVU,2,10.5,148.5,1006,0,0,0,0,0,0,0,0
2012,5,21,0,1202,SANVU,2,10.9,147.7,1006,0,0,0,0,0,0,0,0
2012,5,21,6,1202,SANVU,2,11.4,146.7,1006,0,0,0,0,0,0,0,0
2012,5,21,12,1202,SANVU,2,12.2,145.6,1006,0,0,0,0,0,0,0,0
2012,5,21,18,1202,SANVU,2,12.7,144.8,1004,0,0,0,0,0,0,0,0
2012,5,22,0,1202,SANVU,2,13.2,144.0,1004,0,0,0,0,0,0,0,0
2012,5,22,6,1202,SANVU,3,13.9,143.3,1002,35,0,0,0,9,100,100,0
2012,5,22,12,1202,SANVU,3,14.6,142.3,1002,35,0,0,0,9,100,100,0
2012,5,22,18,1202,SANVU,3,15.4,141.5,998,40,0,0,0,2,130,100,0
2012,5,23,0,1202,SANVU,3,16.1,140.9,998,40,0,0,0,2,130,100,0
2012,5,23,6,1202,SANVU,3,16.7,140.5,996,40,0,0,0,2,140,100,0
2012,5,23,12,1202,SANVU,3,17.4,140.0,992,45,0,0,0,2,150,110,0
2012,5,23,18,1202,SANVU,3,18.1,139.7,990,45,0,0,0,2,150,110,0
2012,5,24,0,1202,SANVU,3,18.8,139.4,990,45,0,0,0,2,150,110,0
2012,5,24,6,1202,SANVU,4,19.6,139.1,985,50,0,0,0,2,160,120,0
2012,5,24,12,1202,SANVU,4,20.7,139.0,980,55,9,40,40,2,160,120,0
2012,5,24,18,1202,SANVU,4,21.4,139.0,975,60,9,50,50,2,160,120,0
2012,5,25,0,1202,SANVU,4,22.2,139.2,975,60,9,50,50,2,160,120,0
2012,5,25,6,1202,SANVU,4,23.0,139.6,975,60,9,50,50,2,160,120,0
2012,5,25,12,1202,SANVU,4,23.5,139.9,975,60,9,50,50,2,170,130,0
2012,5,25,18,1202,SANVU,4,23.9,140.4,975,60,9,50,50,2,170,130,0
2012,5,26,0,1202,SANVU,4,24.5,141.1,975,60,9,50,50,2,170,130,0
2012,5,26,6,1202,SANVU,4,24.8,142.0,975,60,9,50,50,2,170,130,0
2012,5,26,12,1202,SANVU,4,25.1,143.3,980,55,9,40,40,2,160,120,0
2012,5,26,18,1202,SANVU,4,25.4,144.6,985,50,0,0,0,2,150,110,0
2012,5,27,0,1202,SANVU,3,26.5,146.0,990,45,0,0,0,2,150,110,0
2012,5,27,6,1202,SANVU,3,27.5,147.1,992,45,0,0,0,2,140,100,0
2012,5,27,12,1202,SANVU,3,28.3,148.7,994,40,0,0,0,2,140,100,0
2012,5,27,18,1202,SANVU,6,29.5,150.0,994,0,0,0,0,0,0,0,0
2012,5,28,0,1202,SANVU,6,31.0,152.0,1000,0,0,0,0,0,0,0,0
2012,5,28,6,1202,SANVU,6,31.4,153.3,1002,0,0,0,0,0,0,0,0
2012,5,28,12,1202,SANVU,6,31.8,154.9,1004,0,0,0,0,0,0,0,0
2012,5,28,18,1202,SANVU,6,32.6,157.0,1008,0,0,0,0,0,0,0,0
2012,5,29,0,1202,SANVU,6,34.0,158.7,1010,0,0,0,0,0,0,0,0
2012,5,29,6,1202,SANVU,6,34.6,160.7,1012,0,0,0,0,0,0,0,0
2012,5,29,12,1202,SANVU,6,35.2,163.0,1014,0,0,0,0,0,0,0,0
2012,5,29,18,1202,SANVU,6,35.4,164.0,1016,0,0,0,0,0,0,0,0
2012,5,30,0,1202,SANVU,6,35.4,167.4,1016,0,0,0,0,0,0,0,0
2012,5,30,6,1202,SANVU,6,35.7,169.1,1016,0,0,0,0,0,0,0,0
2012,5,30,12,1202,SANVU,6,35.5,170.6,1016,0,0,0,0,0,0,0,0
2012,5,31,18,1203,MAWAR,2,13.9,127.3,1002,0,0,0,0,0,0,0,0
2012,6,1,0,1203,MAWAR,2,14.3,126.3,1000,0,0,0,0,0,0,0,0
2012,6,1,6,1203,MAWAR,2,14.9,125.5,998,0,0,0,0,0,0,0,0
2012,6,1,12,1203,MAWAR,2,15.4,125.1,998,0,0,0,0,0,0,0,0
2012,6,1,18,1203,MAWAR,3,16.0,124.8,996,35,0,0,0,9,100,100,0
2012,6,2,0,1203,MAWAR,3,16.6,124.3,990,45,0,0,0,3,150,100,0
2012,6,2,6,1203,MAWAR,4,17.1,124.3,985,50,0,0,0,3,150,100,0
2012,6,2,12,1203,MAWAR,4,17.6,124.5,980,55,9,40,40,3,220,100,0
2012,6,2,18,1203,MAWAR,4,18.1,124.7,980,55,9,60,60,3,220,120,0
2012,6,3,0,1203,MAWAR,4,18.6,125.0,980,55,9,60,60,3,220,120,0
