îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2014,1,15,0,1401,LINGLING,2,9.6,129.2,1006,0,0,0,0,0,0,0,0
2014,1,15,6,1401,LINGLING,2,9.6,129.2,1004,0,0,0,0,0,0,0,0
2014,1,15,12,1401,LINGLING,2,9.7,129.0,1008,0,0,0,0,0,0,0,0
2014,1,15,18,1401,LINGLING,2,9.8,128.9,1006,0,0,0,0,0,0,0,0
2014,1,16,0,1401,LINGLING,2,9.8,128.8,1008,0,0,0,0,0,0,0,0
2014,1,16,6,1401,LINGLING,2,9.7,128.6,1004,0,0,0,0,0,0,0,0
2014,1,16,12,1401,LINGLING,2,9.5,128.5,1004,0,0,0,0,0,0,0,0
2014,1,16,18,1401,LINGLING,2,9.3,128.3,1004,0,0,0,0,0,0,0,0
2014,1,17,0,1401,LINGLING,2,9.3,128.3,1004,0,0,0,0,0,0,0,0
2014,1,17,6,1401,LINGLING,2,9.7,127.9,1002,0,0,0,0,0,0,0,0
2014,1,17,12,1401,LINGLING,2,9.7,127.4,1006,0,0,0,0,0,0,0,0
2014,1,17,18,1401,LINGLING,2,9.7,127.4,1006,0,0,0,0,0,0,0,0
2014,1,18,0,1401,LINGLING,3,9.7,127.4,1004,35,0,0,0,7,150,90,0
2014,1,18,6,1401,LINGLING,3,9.7,127.4,1002,35,0,0,0,7,150,90,0
2014,1,18,12,1401,LINGLING,3,9.7,127.4,1004,35,0,0,0,7,150,90,0
2014,1,18,18,1401,LINGLING,3,9.4,127.4,1004,35,0,0,0,7,150,90,0
2014,1,19,0,1401,LINGLING,3,9.2,127.5,1006,35,0,0,0,7,150,90,0
2014,1,19,6,1401,LINGLING,3,9.0,127.5,1004,35,0,0,0,7,150,90,0
2014,1,19,12,1401,LINGLING,3,8.7,127.7,1006,35,0,0,0,7,200,90,0
2014,1,19,18,1401,LINGLING,3,8.2,127.8,1006,35,0,0,0,7,200,90,0
2014,1,20,0,1401,LINGLING,2,7.2,128.3,1008,0,0,0,0,0,0,0,0
2014,1,20,6,1401,LINGLING,2,6.3,129.0,1004,0,0,0,0,0,0,0,0
2014,1,29,0,1402,KAJIKI,2,9.5,143.1,1004,0,0,0,0,0,0,0,0
2014,1,29,6,1402,KAJIKI,2,9.5,141.8,1002,0,0,0,0,0,0,0,0
2014,1,29,12,1402,KAJIKI,2,9.2,140.7,1004,0,0,0,0,0,0,0,0
2014,1,29,18,1402,KAJIKI,2,8.6,139.4,1002,0,0,0,0,0,0,0,0
2014,1,30,0,1402,KAJIKI,2,8.4,137.9,1004,0,0,0,0,0,0,0,0
2014,1,30,6,1402,KAJIKI,2,8.6,136.3,1004,0,0,0,0,0,0,0,0
2014,1,30,12,1402,KAJIKI,2,8.6,134.5,1004,0,0,0,0,0,0,0,0
2014,1,30,18,1402,KAJIKI,2,9.0,132.8,1002,0,0,0,0,0,0,0,0
2014,1,31,0,1402,KAJIKI,3,9.7,130.3,1000,35,0,0,0,7,150,90,0
2014,1,31,6,1402,KAJIKI,3,10.0,128.0,1000,35,0,0,0,7,180,90,0
2014,1,31,12,1402,KAJIKI,3,10.4,126.2,1000,35,0,0,0,7,180,90,0
2014,1,31,18,1402,KAJIKI,3,10.9,124.2,1002,35,0,0,0,7,180,90,0
2014,2,1,0,1402,KAJIKI,3,11.2,121.9,1002,35,0,0,0,7,180,90,0
2014,2,1,6,1402,KAJIKI,2,11.2,120.0,1004,0,0,0,0,0,0,0,0
2014,2,1,12,1402,KAJIKI,2,11.0,118.0,1008,0,0,0,0,0,0,0,0
2014,2,27,12,1403,FAXAI,2,8.7,147.8,1004,0,0,0,0,0,0,0,0
2014,2,27,18,1403,FAXAI,2,8.6,147.8,1002,0,0,0,0,0,0,0,0
2014,2,28,0,1403,FAXAI,2,8.5,148.0,1004,0,0,0,0,0,0,0,0
2014,2,28,6,1403,FAXAI,2,8.5,148.3,1002,0,0,0,0,0,0,0,0
2014,2,28,12,1403,FAXAI,3,8.6,148.5,1000,35,0,0,0,8,150,100,0
2014,2,28,18,1403,FAXAI,3,8.8,149.0,1000,35,0,0,0,8,150,100,0
2014,3,1,0,1403,FAXAI,3,8.9,149.1,998,35,0,0,0,8,150,100,0
